year_month,variety,price_per_bu
2024-01,WHEAT,0.12455854183500045
2024-02,WHEAT,0.1280854166999998
2024-03,WHEAT,0.11789937475750042
2024-04,WHEAT,0.11287854134250075
2024-05,WHEAT,0.10902656217000034
2024-06,WHEAT,0.10743093719750064
2024-07,WHEAT,0.10801624989750026
2024-08,WHEAT,0.10806677062249971
2024-09,WHEAT,0.10134718762000001
2024-10,WHEAT,0.1
2024-11,WHEAT,0.1
2024-12,WHEAT,0.10314479187000022
2025-01,WHEAT,0.12455854183500045
2025-02,WHEAT,0.1280854166999998
2025-03,WHEAT,0.11789937475750042
2025-04,WHEAT,0.11287854134250075
2025-05,WHEAT,0.10902656217000034
2025-06,WHEAT,0.10743093719750064
2025-07,WHEAT,0.10801624989750026
2025-08,WHEAT,0.10806677062249971
2025-09,WHEAT,0.10134718762000001
2025-10,WHEAT,0.1
2025-11,WHEAT,0.1
2025-12,WHEAT,0.10314479187000022
2026-01,WHEAT,0.12455854183500045
2026-02,WHEAT,0.1280854166999998
2026-03,WHEAT,0.11789937475750042
2026-04,WHEAT,0.11287854134250075
2026-05,WHEAT,0.10902656217000034
2026-06,WHEAT,0.10743093719750064
2026-07,WHEAT,0.10801624989750026
2026-08,WHEAT,0.10806677062249971
2026-09,WHEAT,0.10134718762000001
2026-10,WHEAT,0.1
2026-11,WHEAT,0.1
2026-12,WHEAT,0.10314479187000022
2027-01,WHEAT,0.12455854183500045
2027-02,WHEAT,0.1280854166999998
2027-03,WHEAT,0.11789937475750042
2027-04,WHEAT,0.11287854134250075
2027-05,WHEAT,0.10902656217000034
2027-06,WHEAT,0.10743093719750064
2027-07,WHEAT,0.10801624989750026
2027-08,WHEAT,0.10806677062249971
2027-09,WHEAT,0.10134718762000001
2027-10,WHEAT,0.1
2027-11,WHEAT,0.1
2027-12,WHEAT,0.10314479187000022
2028-01,WHEAT,0.12455854183500045
2028-02,WHEAT,0.1280854166999998
2028-03,WHEAT,0.11789937475750042
2028-04,WHEAT,0.11287854134250075
2028-05,WHEAT,0.10902656217000034
2028-06,WHEAT,0.10743093719750064
2028-07,WHEAT,0.10801624989750026
2028-08,WHEAT,0.10806677062249971
2028-09,WHEAT,0.10134718762000001
2028-10,WHEAT,0.1
2028-11,WHEAT,0.1
2028-12,WHEAT,0.10314479187000022
